"last_value","estimated_value","difference","orderbook_diff"
25665.43,25663.3626828371,2.06731716294962,-10.3915
25665.72,25681.7559740051,-16.0359740050626,-11.89608
25681.1133333333,25683.8817135588,-2.76838022549055,-10.7488
25693.46,25691.1454688045,2.31453119547587,-4.028
25684.37,25684.4974348005,-0.12743480050267,-9.59022
25678.792,25685.3814991042,-6.58949910424417,-8.87134
25660,25682.1112123189,-22.1112123188723,-3.31421
25637.57,25652.6738844194,-15.1038844194045,-3.83322
25659.07,25666.638923784,-7.56892378395059,-27.58039
25644.14,25641.1847267384,2.95527326161027,-14.6058
25634.68,25656.1981612443,-21.5181612442684,-21.35298
25636.92,25647.3035229924,-10.3835229923898,-21.02496
25633.51,25646.6248272863,-13.114827286252,-8.06094
25634.33,25647.7510798338,-13.4210798338245,-10.7557
25663.16,25660.8131438265,2.34685617345531,-2.60255
25644.04,25654.4833167827,-10.443316782701,-10.69758
25630.7,25656.5569725528,-25.8569725528359,-10.09089
25624,25650.4499553024,-26.4499553024216,3.35764
25602.3775,25623.6438525731,-21.2663525730495,-1.71606
25620.73,25638.0827847934,-17.3527847934347,-4.24062
25598.964,25625.2759372973,-26.3119372973088,-10.30896
25626.24,25626.1418358775,0.0981641225189378,-13.76383
25620.2,25613.4562799085,6.74372009149738,-0.71077
25607.06,25625.0016351267,-17.9416351267209,-1.66097
25602.235,25624.5247111093,-22.2897111092716,-1.44151
25612.65,25623.0680339684,-10.4180339684026,2.85249
25600.78,25621.473614876,-20.6936148759887,-5.88517
25603.02,25593.7684069156,9.25159308438015,-7.07755
25577.29,25594.8340430168,-17.5440430168201,3.88262
25594.015,25596.1324346047,-2.11743460470825,-5.61325
25608.8033333333,25602.0553971485,6.74793618482363,-4.41969
25604.73,25609.0728482035,-4.34284820352332,-7.89905
25580.26,25603.1787591246,-22.9187591245827,-0.83182
25553.42,25567.5882182034,-14.1682182033692,-8.75431
25533.92,25543.8426131392,-9.92261313924246,-4.30749
25500.58625,25532.9356516737,-32.3494016737095,5.04227
25448.95,25508.6147539544,-59.6647539544283,3.45913
25385.8933333333,25472.2019463833,-86.3086130500087,3.52459
25469.95,25408.4849944493,61.4650055506536,6.35395
25476.11,25458.6196954919,17.4903045080573,-3.60075
25415.93,25463.548318813,-47.6183188130453,-7.57686
25426.7466666667,25472.5360048786,-45.7893382118855,-10.31808
25443.25,25447.0722472594,-3.82224725943524,-12.54475
25414.255,25452.8371826541,-38.5821826540523,-14.19511
25403.155,25424.9278888027,-21.7728888026686,-1.87599
25363.815,25359.4883628157,4.32663718425829,-12.92245
25339,25359.0298140828,-20.0298140827908,-3.78585
25364.668,25371.1365541573,-6.4685541573308,-7.58383
25341.89,25369.2595804761,-27.3695804761337,-4.13361
25339.1766666667,25359.9194897403,-20.7428230736768,-4.57409
25318.89,25363.0983879351,-44.2083879351048,-4.61425
25300,25353.8575272798,-53.8575272798298,-2.11973
25348.5875,25362.7495089629,-14.1620089628741,-11.8783
25329.33,25349.5519195372,-20.2219195371908,-10.71197
25287.335,25338.6559659086,-51.3209659085805,-3.07399
25289.46,25306.3898019684,-16.9298019683956,-1.63877
25309.46,25313.0807257452,-3.620725745237,-12.08883
25403.91,25404.4686064504,-0.55860645037319,-14.64116
25431.87,25412.5314184548,19.3385815451984,-6.25645
25401.475,25444.3745748533,-42.8995748532616,-19.25275
25405,25417.8674439476,-12.8674439475908,-34.84727
25416.755,25429.4771802435,-12.7221802434906,-16.12811
25449.11,25456.7562579707,-7.64625797069311,-16.06505
25471.7,25487.2528133858,-15.5528133858061,-9.87823
25438.58,25462.4247631255,-23.8447631254676,-16.22144
25385.36,25413.8247558729,-28.4647558729412,-16.40076
25380.82,25374.7169936293,6.1030063706894,-8.85214
25365.56,25363.7990754839,1.76092451610384,-13.69798
25306.0133333333,25347.5709585172,-41.5576251838684,1.96686
25360.885,25348.3764368143,12.508563185711,-7.56942
25365.64,25362.5086362888,3.13136371122164,5.69358
25430.2514285714,25386.8986597697,43.3527688016911,-26.29925
25398.2666666667,25428.8175275866,-30.5508609199278,-4.20845
25374.49,25396.2116602851,-21.7216602850676,-13.89611
25416.535,25391.6098700016,24.925129998388,-20.51927
25389.92,25411.966597831,-22.0465978310276,-15.03202
25358.87,25326.2783875764,32.5916124236064,-9.44586
25361.8,25360.9701679944,0.829832005601929,-13.32078
25317.23,25346.0197421581,-28.7897421580892,-2.33924
25294.5,25314.5481110045,-20.0481110044966,-8.90029
25329.93,25312.5365662791,17.3934337209103,-5.14645
25348.85,25330.5339556584,18.3160443415691,-10.43702
25370.78,25344.9411390094,25.8388609906287,-19.04282
25378.625,25383.4398614194,-4.81486141937057,-17.25682
25316.35,25345.3588283844,-29.008828384387,-4.17492
25360.91,25345.3328620134,15.5771379866419,-25.41931
25358.23,25372.1297387747,-13.8997387747077,-20.67104
25366.26,25387.4892350056,-21.229235005565,-4.57684
25397.47,25393.181021575,4.28897842502556,-4.80356
25424.97,25404.8550425536,20.1149574464034,-18.59032
25446.1075,25433.1626532712,12.9448467287875,-2.93129
25470.44,25449.9679576571,20.4720423428553,-3.38449
25470.2366666667,25438.1006090372,32.1360576294901,-1.45791
25466.45,25449.7292947653,16.7207052347221,5.19549
25459.99,25450.1960070298,9.79399297022974,-14.86104
25488.4333333333,25461.865167906,26.5681654273067,-12.43879
25515.55,25473.9308608571,41.6191391429238,-32.17359
25481.5733333333,25454.1578856541,27.4154476792683,-16.04811
25462.79,25477.1071658172,-14.317165817185,-2.89378
25457.8,25448.1857976678,9.61420233222452,-17.65227
25472.4675,25455.6987587543,16.7687412456653,-16.72848
25475.9516666667,25452.9698906601,22.9817760065635,-0.778690000000001
25402.468,25417.044070789,-14.5760707889931,-0.209769999999999
25424.32,25401.0472947629,23.2727052370647,-0.659149999999997
25455.1861904762,25430.4501817,24.7360087762136,-29.29538
25483.3383333333,25446.8158434705,36.5224898628403,-20.73142
25522.32,25452.9988387727,69.3211612273444,-19.93549
25555.0616666667,25518.5521189454,36.5095477212381,-14.7337
25516.9377777778,25512.6927604671,4.24501731064083,-18.23391
25533.476,25504.2741988912,29.2018011088112,-22.98457
25478.335,25478.6367133299,-0.301713329910854,-16.27836
25476.44,25463.8077936675,12.632206332466,-19.60852
25466.64,25463.1057522704,3.53424772959261,3.72609
25470.1233333333,25443.0463205304,27.0770128029289,-18.2492
25503.66,25479.9310863738,23.7289136262079,-18.57284
25495.82,25503.1638702809,-7.34387028088167,-18.40878
25495.28,25505.2273851584,-9.94738515836798,-12.83389
25482.24,25490.2204087069,-7.98040870685509,-17.43998
25507.88,25496.4135,11.4665000000023,-15.33099
25514.735,25501.6376391281,13.0973608718887,-18.95162
25517.655,25521.6175015376,-3.96250153760411,-17.71877
25553.2766666667,25524.2560132935,29.0206533731798,-28.08231
25531.31,25548.121117982,-16.8111179820371,-19.81321
25502.84,25517.4605083543,-14.6205083543064,-21.53281
25487.57,25478.8943360971,8.6756639029154,-17.79361
25505.205,25492.4119327301,12.7930672699367,-18.15558
25490,25499.3216006064,-9.32160060642491,-19.27969
25471.1866666667,25473.8985370913,-2.71187042465681,-13.19663
25475.54,25471.7875603093,3.75243969065559,-17.74075
25506.1033333333,25485.4186410725,20.6846922608456,-11.9008
25513.21,25514.7280897591,-1.5180897590617,-10.52463
25494.2016666667,25504.1836155779,-9.98194891122694,-9.09007
25451.78,25476.9075135414,-25.1275135413525,-21.79142
25476.79,25479.3435237132,-2.55352371322806,-11.37096
25491.91,25488.4668337245,3.44316627552325,-12.27859
25508.0475,25492.1575208593,15.8899791407275,-31.54204
25495.2566666667,25500.0844270452,-4.82776037850635,-19.61207
25477.19,25499.4097885894,-22.2197885894311,-10.17457
25503.1935714286,25482.8729812168,20.3205902117406,-21.9969
25546.9142857143,25524.9123521801,22.0019335342004,-17.98217
25547.3266666667,25547.3277943351,-0.00112766845995793,-20.30468
25555.33,25537.0214360588,18.308563941202,-17.00619
25555.87,25552.6861001454,3.18389985456452,-11.58811
25540.9,25541.6693654269,-0.76936542689873,-14.09578
25536.015,25531.6266743023,4.38832569769511,-24.92107
25528.71,25529.0679431171,-0.357943117145624,-24.8177
